,pull,train,push
0,8.401294,17.231844,11.039898
1,7.287464,16.925032,9.776283
2,7.35814,17.036595,9.913592
3,7.294859,17.104205,9.747909
4,7.428194,16.882481,9.510315
5,7.306788,16.98296,9.659795
6,7.680603,17.351597,9.516223
7,7.321525,16.821544,9.361188
8,7.347726,16.85053,9.462759
9,7.265141,17.00595,10.185932
10,7.464728,16.848582,9.888099
11,7.338143,17.001446,10.950539
12,7.460222,16.901588,9.861998
13,7.297041,17.009858,9.87517
14,7.335478,17.140346,9.596638
15,7.402494,16.56,10.143836
16,7.440967,16.861365,11.790966
17,7.362477,16.738995,9.664997
18,7.38135,16.910592,9.961852
19,7.33902,16.872894,10.387255
20,7.381151,16.806304,9.847677
21,7.378524,16.993936,9.706744
22,7.316249,17.031867,9.808305
23,7.405701,16.661424,10.879183
24,7.353679,16.811163,9.74035
25,7.499995,16.879346,10.112083
26,7.317431,16.600678,10.065547
27,7.500783,16.846289,9.495919
28,7.275382,16.923951,9.566991
29,7.442017,17.127186,9.629227
30,7.358237,16.992085,10.09152
31,7.316705,16.939922,9.729546
32,7.299116,16.668879,10.326297
33,7.310719,17.131165,10.148374
34,7.410219,16.696029,9.779585
35,7.396403,16.758334,9.808238
36,7.463076,16.626544,10.160026
37,7.403782,16.604443,10.124646
38,7.384828,17.182446,9.817332
39,7.320144,16.943598,10.008099
40,7.43986,16.842778,10.816867
41,7.37014,16.768257,9.951621
42,7.358005,16.792969,9.740375
43,7.299707,16.565123,10.577478
44,7.315637,16.912919,9.676438
45,7.377005,16.765657,10.075208
46,7.345728,16.962627,10.02157
47,7.322365,17.231106,9.849836
48,7.323437,17.170656,10.125321
49,7.315155,16.870656,9.945281
,7.39029668,16.90293482,9.99841856
