,pull,train,push
0,7.501394,17.37463,9.330409
1,8.103961,17.05603,9.219944
2,7.611088,17.255693,9.356437
3,7.652493,17.08437,9.180651
4,7.665858,17.017676,9.803374
5,7.643034,16.970275,9.650177
6,7.732099,17.362735,9.475855
7,7.575793,16.875531,10.314913
8,7.627211,16.987366,9.249218
9,7.71609,17.023633,9.901457
10,8.219749,17.097603,9.756499
11,8.088425,16.889969,10.051305
12,7.495928,17.18691,9.333427
13,7.674054,17.069956,8.93116
14,7.647604,17.002183,10.842681
15,7.646062,16.941121,10.718109
16,7.642236,17.035849,9.198232
17,7.568419,17.134168,8.685478
18,8.1277,17.243028,9.180622
19,7.862454,17.172447,10.108221
20,7.572867,16.990034,9.175012
21,7.990341,16.912194,9.069008
22,7.619965,16.96547,9.248052
23,7.623698,17.030912,9.331573
24,7.467113,17.232757,10.499347
25,7.601381,17.292754,9.344212
26,7.586137,16.965856,9.408896
27,7.447771,16.848289,9.272999
28,7.398362,16.945066,9.82522
29,7.505614,17.1774,9.405405
30,7.743298,16.957836,8.891681
31,7.647942,17.176105,9.954723
32,7.494326,16.811648,9.287047
33,8.110125,16.834254,10.036196
34,7.588878,16.642221,9.067587
35,7.611414,17.025716,9.200982
36,7.639205,17.113489,9.26724
37,7.826562,16.988502,9.570146
38,7.451356,16.894331,9.829698
39,7.405571,17.025203,9.007747
40,7.716726,17.072261,8.971317
41,7.7139,16.638729,9.443589
42,7.533767,17.201011,9.228007
43,7.466781,16.744424,8.956904
44,7.613428,17.350724,9.681528
45,7.587965,17.109117,9.775911
46,7.521844,17.18502,8.884829
47,7.871847,17.175844,9.027099
48,7.719439,17.01112,9.115836
49,7.542136,16.966982,9.472293
,7.66842822,17.04132884,9.47076506
