,pull,train,push
0,6.663838,16.753119,7.401352
1,6.344236,16.903792,6.126362
2,5.713797,16.814046,7.07444
3,5.85665,17.236237,5.684916
4,5.750379,16.556459,7.1705
5,6.293818,16.657698,6.988473
6,5.763038,17.135263,7.398916
7,5.137272,16.971942,6.002957
8,6.205808,16.893084,7.76
9,6.284807,17.063588,6.402664
10,5.828182,16.961141,7.020199
11,5.075008,16.990717,6.567793
12,5.901449,16.895537,6.958924
13,6.448882,16.755,6.547228
14,5.734035,17.030698,6.6875
15,5.085512,16.771134,7.880104
16,6.437902,16.862187,7.284729
17,6.403254,16.731521,5.794487
18,6.053014,16.895558,6.855701
19,5.087035,17.208928,6.532272
20,5.84482,17.165096,6.417869
21,6.292275,17.026888,6.061324
22,5.736649,16.897943,6.711872
23,5.051082,17.09695,6.040997
24,6.132222,16.882358,6.54187
25,6.532228,16.977424,6.046742
26,6.000094,16.998043,6.764802
27,5.254149,16.952796,6.137465
28,5.783299,16.968644,7.80991
29,6.323725,17.196041,5.985583
30,5.63643,17.185617,6.7511
31,5.088985,17.170603,5.655282
32,5.984504,16.786241,6.661067
33,6.363271,17.157454,5.8516
34,5.617032,16.742881,7.259195
35,5.097222,17.073999,5.763219
36,5.865371,16.773573,7.40279
37,6.33273,17.108447,6.002855
38,5.64688,16.75173,6.761745
39,5.007433,17.433569,5.727284
40,5.935334,16.961371,6.890596
41,6.416513,17.107495,5.876444
42,5.680964,17.007792,6.785758
43,5.097009,17.077411,6.353012
44,5.791137,17.184662,6.96029
45,6.475972,16.972945,6.226712
46,5.842576,17.032032,6.706967
47,5.234025,16.865552,5.800799
48,5.985874,17.150229,7.812058
49,6.272933,17.071322,5.945164
,5.84781308,16.97729514,6.59703776
