,pull,train,push
0,3.974919,1.748954,4.358118
1,3.946272,1.855039,5.002762
2,4.033937,1.957199,4.478551
3,3.972059,2.107222,4.324028
4,3.928487,2.096566,4.323581
5,4.050522,2.09924,4.208133
6,3.839403,1.866743,5.727219
7,3.931859,2.542733,4.350725
8,3.923051,2.151415,4.57705
9,3.983063,2.724597,5.750466
10,4.029739,2.1127,4.252002
11,3.891581,2.20994,4.287731
12,4.051828,1.961147,4.521899
13,3.947642,2.143545,4.929153
14,3.963801,1.891266,4.41101
15,4.033921,2.191877,5.070912
16,4.145409,2.015853,4.293983
17,3.932303,1.956679,4.580349
18,3.979307,2.166982,4.814815
19,3.826735,2.358655,4.99578
20,4.206075,1.982039,5.609542
21,4.024012,2.244602,6.021278
22,4.018003,1.979138,5.177153
23,4.055914,2.011894,5.130898
24,4.078818,1.960667,5.079586
25,4.213164,2.682672,4.550603
26,3.934551,1.963997,4.929055
27,3.926133,1.951946,5.002063
28,4.022233,1.95231,5.366503
29,3.917576,2.074391,5.26441
30,3.945369,1.913362,4.345194
31,3.961366,2.299012,5.941386
32,4.121401,2.336675,4.900303
33,4.072623,2.518121,5.148319
34,3.964323,2.311993,5.598586
35,4.082222,2.250282,5.46022
36,3.880096,2.135868,4.8084
37,3.749747,2.36846,5.42984
38,4.124761,2.148551,5.69522
39,4.185107,2.087264,4.737615
40,4.229389,2.154324,4.545541
41,3.937177,2.751745,7.821464
42,4.041199,2.07828,4.875896
43,4.332945,2.148753,4.647137
44,4.085393,2.207123,6.251972
45,4.108921,2.102294,4.580136
46,4.00415,2.109181,4.419953
47,4.096544,2.498761,4.404709
48,4.040472,2.658368,5.294658
49,3.956266,2.111786,6.097082
50,3.942618,2.381528,5.182036
51,3.957888,2.855707,5.74141
52,4.203815,2.085641,4.528448
53,3.955271,2.688982,5.053229
54,3.932293,2.033516,5.083704
55,4.109915,2.170358,4.444634
56,3.996066,2.165629,4.582166
57,3.998347,2.157731,4.495699
58,4.142193,2.367717,4.775963
59,3.945884,2.078725,6.055901
60,4.098873,2.091413,4.57712
61,3.914105,1.983524,4.718378
62,4.090193,2.010688,5.221888
63,3.86548,2.535115,4.761184
64,4.109997,2.321882,5.700567
65,4.006942,2.239013,6.667449
66,4.036199,2.094691,7.347372
67,4.023003,2.131965,4.813073
68,4.000942,2.118681,6.828032
69,3.937445,1.957741,4.517384
70,4.174796,2.838698,5.153865
71,4.349109,2.374222,5.187566
72,4.055469,2.000151,4.603003
73,3.953289,2.708011,4.773115
74,3.978978,2.364151,4.703469
75,4.071756,2.424735,5.760048
76,4.071888,2.585602,4.513928
77,4.027284,2.229609,4.862887
78,3.978953,2.261247,6.016871
79,4.038472,2.26847,5.720269
80,4.119792,2.508819,4.36374
81,4.045913,2.392519,5.943544
82,3.99687,2.745983,4.496354
83,3.992633,2.448757,5.159023
84,4.001774,2.260056,4.461799
85,4.137762,2.132245,4.693966
86,3.965218,2.25093,5.038292
87,4.290636,2.425386,5.704798
88,4.299252,2.459876,6.229467
89,3.949107,2.316382,4.813559
90,4.13868,2.116333,4.577849
91,4.343348,2.5725,4.459534
92,4.087672,2.272939,5.032053
93,3.873541,2.166358,4.317607
94,4.133992,2.082994,4.360805
95,4.149469,2.068069,5.076895
96,3.985703,2.046906,4.33611
97,3.942225,2.142602,4.287238
98,3.905893,2.243654,4.759386
99,3.984803,2.198032,5.538234
