,pull,train,push
0,2.563051,1.933045,2.677534
1,2.558936,2.017572,2.620223
2,2.646557,2.02113,2.632973
3,2.609072,1.852477,2.53941
4,2.542448,2.616185,2.62741
5,2.619496,1.987275,2.51033
6,2.575268,2.008907,2.589197
7,2.527455,2.026923,2.596385
8,2.472963,1.807921,2.832188
9,2.592601,2.13386,2.900872
10,2.722837,1.914752,2.645807
11,2.633358,1.973582,2.59878
12,2.491995,1.850568,3.129482
13,2.482632,2.019847,2.806013
14,2.584013,1.856763,2.681701
15,2.668985,2.241868,2.604471
16,2.479567,1.930473,2.684407
17,2.587073,1.77139,2.884341
18,2.44918,1.848773,2.563752
19,2.568402,1.914852,2.589393
20,2.517523,1.984415,2.818421
21,2.554557,1.760111,2.57993
22,2.63771,1.854095,2.655917
23,2.554466,1.841425,2.528272
24,2.888884,2.313276,2.798118
25,2.615721,1.814388,2.72329
26,2.622798,2.015672,2.75557
27,2.709059,2.070323,2.682788
28,2.566821,2.030117,2.819907
29,2.608746,1.95449,2.580562
30,2.84056,1.83559,2.58151
31,2.978723,1.921417,2.540611
32,2.595806,2.173052,2.579974
33,2.775615,2.063784,2.572927
34,2.574418,2.06146,2.73897
35,2.603784,1.849354,2.629472
36,2.842347,1.822049,3.082132
37,2.589101,1.978115,3.044637
38,2.566771,1.876538,2.552315
39,2.725303,2.783976,3.022277
40,2.710192,1.838323,2.579791
41,2.695015,2.823362,2.649058
42,2.532499,1.999733,2.592401
43,2.623318,1.8941,2.546295
44,2.852379,2.088719,2.624825
45,2.632307,2.001615,2.747567
46,2.56162,1.868218,3.137408
47,2.703189,1.796563,2.551479
48,2.477648,1.849342,2.608728
49,2.564486,2.069305,2.653086
,2.6219451,1.9992218,2.69385814
