,pull,train,push
0,2.83932,16.604402,3.697937
1,4.467751,16.678216,3.169015
2,2.706699,16.729954,4.212045
3,2.714998,16.495419,4.322612
4,2.907959,16.750848,2.989498
5,2.842144,16.839987,3.614751
6,2.880809,16.68751,2.970759
7,2.790501,16.545418,3.962665
8,2.951925,16.386707,3.081877
9,2.629603,16.31304,3.88174
10,2.853693,16.522426,3.703622
11,2.863763,16.446531,3.918314
12,2.836062,16.552369,3.687734
13,2.827032,16.220386,4.206765
14,2.862092,16.715758,3.507885
15,2.82868,16.829698,3.705511
16,2.954951,17.103443,3.442098
17,2.859001,16.548156,4.038004
18,2.912805,16.354591,3.587805
19,2.842755,18.882817,3.771209
20,2.90531,16.46239,4.118186
21,2.80841,16.278764,3.898064
22,3.287933,16.792064,3.743559
23,2.873346,16.971535,3.964305
24,2.857434,16.734857,3.030603
25,2.857154,16.960125,3.568532
26,2.935673,16.717251,4.095936
27,3.213934,16.856315,3.56644
28,2.821194,17.047948,3.873736
29,2.874024,16.222936,4.184129
30,2.9289,17.072217,3.488018
31,3.035798,16.714951,4.01369
32,2.88839,16.692885,2.853234
33,2.77529,16.289759,4.1732
34,3.729162,17.00426,3.6318
35,2.819206,16.897545,3.704108
36,2.880465,16.7391,3.307271
37,2.693733,16.761872,4.090908
38,2.90492,16.25475,4.170474
39,4.182841,16.839784,4.55038
40,2.960196,16.682884,3.667274
41,2.802606,16.697044,3.587945
42,2.877721,16.738993,3.691885
43,4.287513,16.441289,3.820553
44,2.92845,16.812201,2.902073
45,2.779975,16.694544,2.933989
46,2.888618,16.788978,3.396014
47,2.747507,16.77459,3.654259
48,3.411253,16.950244,3.542501
49,2.869297,16.386206,3.851851
50,3.040676,16.664297,3.446899
51,2.758536,16.699489,3.879709
52,3.190432,17.025339,3.519525
53,2.698051,16.329699,3.615455
54,2.942325,16.572313,3.442766
55,2.751549,16.868652,3.731628
56,2.88135,16.59874,3.784582
57,2.823107,16.595051,3.66786
58,2.833749,16.696304,3.542612
59,2.792093,16.728947,4.075875
60,2.845902,16.950143,2.922939
61,2.801583,16.922213,4.021648
62,2.778982,16.500039,3.556756
63,2.868424,16.836854,3.829312
64,2.798951,16.52182,3.163227
65,2.766774,16.294641,3.817246
66,2.903739,16.647664,3.248103
67,2.860576,16.926539,2.954502
68,2.848493,16.605345,3.061711
69,2.910696,16.835737,3.621731
70,2.898267,16.77819,3.394877
71,2.811612,16.649816,3.822544
72,2.911108,16.884361,3.645752
73,2.808269,16.259952,3.211608
74,2.833491,16.357316,3.958113
75,2.826716,18.000012,3.559144
76,3.429641,18.230988,6.029151
77,3.406223,16.997769,4.334894
78,3.797032,17.553557,3.597536
79,2.918628,18.425471,3.798551
80,2.935747,16.718222,3.977013
81,2.88169,16.576299,4.760028
82,3.851462,16.964826,4.406318
83,2.710222,16.551102,4.592893
84,2.955586,16.54332,4.199696
85,3.174774,16.615143,4.076938
86,3.33603,16.416272,4.105739
87,3.262283,16.364152,4.582327
88,3.228376,16.798187,4.168457
89,4.784411,16.548669,4.66247
90,3.692422,16.424013,3.516443
91,3.635558,16.50973,3.960374
92,4.415135,16.730783,4.38589
93,4.548563,17.106142,4.193353
94,3.72619,16.783769,3.737966
95,3.820876,16.91532,4.45694
96,2.899074,16.577057,4.23126
97,3.336693,16.867917,4.348066
98,2.853196,16.95529,3.625584
99,4.71433,17.029427,4.512824
,3.07698389,16.75438855,3.79303598
