,pull,train,push
0,6.34881,7.780851,9.808988
1,8.578271,7.500488,8.888596
2,8.060482,8.110767,9.639082
3,6.559092,8.101827,9.408163
4,8.959964,7.822224,9.827636
5,7.3175,7.970129,8.559191
6,7.499752,7.808724,9.298855
7,11.480242,8.150723,8.909068
8,8.321268,8.030099,9.240384
9,7.190112,7.980475,9.338506
10,8.985387,8.020449,9.579211
11,7.139949,7.98974,8.459209
12,7.26926,7.920447,9.718728
13,8.279208,7.979844,10.769059
14,8.189693,7.600153,8.771149
15,6.692324,8.110407,9.359314
16,8.480005,7.860608,9.08973
17,7.759967,7.91046,8.962458
18,6.887077,7.929982,9.648471
19,8.400491,7.509956,10.938043
20,7.997202,7.597675,9.178829
21,7.51957,7.911334,9.739089
22,8.590655,7.639809,10.389282
23,9.259803,7.950235,8.259651
24,7.442083,7.870308,9.919338
